"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"e:\cxWorkspace\react_deep\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 6, 20
"e:\cxWorkspace\react_deep\package.json", "JSON", 0, 0, 0, 42, 0, 0, 1, 43
"e:\cxWorkspace\react_deep\public\index.html", "HTML", 0, 0, 0, 0, 71, 23, 4, 98
"e:\cxWorkspace\react_deep\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"e:\cxWorkspace\react_deep\src\App.js", "JavaScript", 14, 0, 0, 0, 0, 79, 13, 106
"e:\cxWorkspace\react_deep\src\components\nav\index.css", "CSS", 0, 18, 0, 0, 0, 0, 3, 21
"e:\cxWorkspace\react_deep\src\components\nav\index.js", "JavaScript", 44, 0, 0, 0, 0, 0, 6, 50
"e:\cxWorkspace\react_deep\src\components\nav\reducer\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"e:\cxWorkspace\react_deep\src\customHooks\useLockBodyScroll.js", "JavaScript", 45, 0, 0, 0, 0, 6, 5, 56
"e:\cxWorkspace\react_deep\src\customHooks\useRouter.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 17
"e:\cxWorkspace\react_deep\src\homeLayout.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7
"e:\cxWorkspace\react_deep\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 2, 14
"e:\cxWorkspace\react_deep\src\index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 18
"e:\cxWorkspace\react_deep\src\layout.js", "JavaScript", 19, 0, 0, 0, 0, 0, 2, 21
"e:\cxWorkspace\react_deep\src\pages\css\animation\index.js", "JavaScript", 44, 0, 0, 0, 0, 0, 1, 45
"e:\cxWorkspace\react_deep\src\pages\css\animation\index.module.css", "CSS", 0, 232, 0, 0, 0, 6, 52, 290
"e:\cxWorkspace\react_deep\src\pages\css\img\index.js", "JavaScript", 63, 0, 0, 0, 0, 10, 2, 75
"e:\cxWorkspace\react_deep\src\pages\css\img\index.module.css", "CSS", 0, 51, 0, 0, 0, 1, 6, 58
"e:\cxWorkspace\react_deep\src\pages\css\index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 2, 27
"e:\cxWorkspace\react_deep\src\pages\css\pseudoEle\index.js", "JavaScript", 24, 0, 0, 0, 0, 0, 1, 25
"e:\cxWorkspace\react_deep\src\pages\css\pseudoEle\index.module.css", "CSS", 0, 53, 0, 0, 0, 2, 7, 62
