Date : 2021-12-07 08:45:00
Directory : e:\cxWorkspace\react_deep
Total : 71 files,  2537 codes, 379 comments, 322 blanks, all 3238 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         53 |      1,746 |        339 |        146 |      2,231 |
| CSS        |          5 |        366 |          9 |         70 |        445 |
| Markdown   |         10 |        287 |          8 |        100 |        395 |
| HTML       |          1 |         71 |         23 |          4 |         98 |
| JSON       |          2 |         67 |          0 |          2 |         69 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         71 |      2,537 |        379 |        322 |      3,238 |
| public                                                                                                      |          2 |         96 |         23 |          5 |        124 |
| src                                                                                                         |         67 |      2,385 |        356 |        310 |      3,051 |
| src\components                                                                                              |          3 |         72 |          0 |         10 |         82 |
| src\components\nav                                                                                          |          3 |         72 |          0 |         10 |         82 |
| src\components\nav\reducer                                                                                  |          1 |         10 |          0 |          1 |         11 |
| src\customHooks                                                                                             |          2 |         61 |          6 |          6 |         73 |
| src\pages                                                                                                   |         51 |      1,740 |        198 |        201 |      2,139 |
| src\pages\css                                                                                               |          7 |        492 |         19 |         71 |        582 |
| src\pages\css\animation                                                                                     |          2 |        276 |          6 |         53 |        335 |
| src\pages\css\img                                                                                           |          2 |        114 |         11 |          8 |        133 |
| src\pages\css\pseudoEle                                                                                     |          2 |         77 |          2 |          8 |         87 |
| src\pages\home                                                                                              |          2 |        145 |          0 |          2 |        147 |
| src\pages\notFound                                                                                          |          1 |          5 |          0 |          0 |          5 |
| src\pages\routerShow                                                                                        |          5 |         76 |          0 |          6 |         82 |
| src\pages\routerShow\firstChild                                                                             |          1 |          7 |          0 |          0 |          7 |
| src\pages\routerShow\secondChild                                                                            |          3 |         46 |          0 |          4 |         50 |
| src\pages\routerShow\secondChild\firstChild                                                                 |          1 |          8 |          0 |          0 |          8 |
| src\pages\routerShow\secondChild\secondChild                                                                |          1 |         17 |          0 |          2 |         19 |
| src\pages\useCallback                                                                                       |          2 |         32 |         46 |          7 |         85 |
| src\pages\useContext                                                                                        |          3 |        103 |         15 |         11 |        129 |
| src\pages\useContext\provider                                                                               |          1 |         56 |         12 |          6 |         74 |
| src\pages\useContext\useStore                                                                               |          1 |         21 |          3 |          1 |         25 |
| src\pages\useEffect                                                                                         |          4 |        211 |         20 |         40 |        271 |
| src\pages\useEffect\order                                                                                   |          1 |         43 |          7 |          2 |         52 |
| src\pages\useEffect\return                                                                                  |          1 |         66 |         10 |          7 |         83 |
| src\pages\useImperativeHandle                                                                               |          2 |         46 |         34 |          6 |         86 |
| src\pages\useMemo                                                                                           |          2 |         24 |         16 |          7 |         47 |
| src\pages\useReducer                                                                                        |         18 |        474 |         25 |         30 |        529 |
| src\pages\useReducer\advancedSearchShow                                                                     |         10 |        251 |         17 |         13 |        281 |
| src\pages\useReducer\advancedSearchShow\components                                                          |          8 |        201 |         16 |         12 |        229 |
| src\pages\useReducer\advancedSearchShow\components\expert                                                   |          2 |         61 |          0 |          1 |         62 |
| src\pages\useReducer\advancedSearchShow\components\searchBox                                                |          4 |         83 |         16 |         10 |        109 |
| src\pages\useReducer\advancedSearchShow\components\searchBox\searchBody                                     |          1 |         10 |          0 |          1 |         11 |
| src\pages\useReducer\advancedSearchShow\components\searchBox\searchInput                                    |          1 |         21 |          0 |          5 |         26 |
| src\pages\useReducer\advancedSearchShow\components\searchBox\searchLine                                     |          1 |         26 |          0 |          1 |         27 |
| src\pages\useReducer\advancedSearchShow\components\talent                                                   |          2 |         57 |          0 |          1 |         58 |
| src\pages\useReducer\advancedSearchShow\reducer                                                             |          1 |         21 |          1 |          0 |         22 |
| src\pages\useReducer\context                                                                                |          6 |        125 |          0 |          7 |        132 |
| src\pages\useReducer\context\components                                                                     |          2 |         81 |          0 |          2 |         83 |
| src\pages\useReducer\context\init                                                                           |          1 |          3 |          0 |          0 |          3 |
| src\pages\useReducer\context\initData                                                                       |          1 |          3 |          0 |          0 |          3 |
| src\pages\useReducer\context\reducer                                                                        |          1 |         18 |          0 |          1 |         19 |
| src\pages\useReducer\noContext                                                                              |          1 |         60 |          0 |          4 |         64 |
| src\pages\useRef                                                                                            |          3 |         83 |         16 |          8 |        107 |
| src\pages\useRef\inputRef                                                                                   |          1 |         51 |          7 |          1 |         59 |
| src\pages\useRef\prevState                                                                                  |          1 |         24 |          9 |          2 |         35 |
| src\pages\useState                                                                                          |          2 |         49 |          7 |         13 |         69 |
| src\pages\useState\setState                                                                                 |          1 |         20 |          7 |          1 |         28 |
| src\router                                                                                                  |          3 |        410 |         56 |         57 |        523 |
| src\store                                                                                                   |          3 |         33 |         17 |         18 |         68 |
| src\store\stores                                                                                            |          2 |         22 |          5 |          4 |         31 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                    | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\cxWorkspace\react_deep\README.md                                                                         | Markdown   |         14 |          0 |          6 |         20 |
| e:\cxWorkspace\react_deep\package.json                                                                      | JSON       |         42 |          0 |          1 |         43 |
| e:\cxWorkspace\react_deep\public\index.html                                                                 | HTML       |         71 |         23 |          4 |         98 |
| e:\cxWorkspace\react_deep\public\manifest.json                                                              | JSON       |         25 |          0 |          1 |         26 |
| e:\cxWorkspace\react_deep\src\App.js                                                                        | JavaScript |         14 |         79 |         13 |        106 |
| e:\cxWorkspace\react_deep\src\components\nav\index.css                                                      | CSS        |         18 |          0 |          3 |         21 |
| e:\cxWorkspace\react_deep\src\components\nav\index.js                                                       | JavaScript |         44 |          0 |          6 |         50 |
| e:\cxWorkspace\react_deep\src\components\nav\reducer\index.js                                               | JavaScript |         10 |          0 |          1 |         11 |
| e:\cxWorkspace\react_deep\src\customHooks\useLockBodyScroll.js                                              | JavaScript |         45 |          6 |          5 |         56 |
